mach,cd_off,cd_on
9.00000000000000E-0001,4.63744324888236E-0001,4.56236892175167E-0001 
9.10000000000000E-0001,4.69212588585873E-0001,4.61244448503635E-0001 
9.20000000000000E-0001,4.75486136698628E-0001,4.66973524271010E-0001 
9.30000000000000E-0001,4.82564864979593E-0001,4.73424015230382E-0001 
9.40000000000000E-0001,4.90448745038603E-0001,4.80595892991587E-0001 
9.50000000000000E-0001,4.97132571704905E-0001,4.86483952383872E-0001 
9.60000000000000E-0001,5.07641502983176E-0001,4.96113351411913E-0001 
9.70000000000000E-0001,5.18887177573178E-0001,5.06395728775473E-0001 
9.80000000000000E-0001,5.30873374327648E-0001,5.17334863327288E-0001 
9.90000000000000E-0001,5.43603723674773E-0001,5.28934385495546E-0001 
1.00000000000000E+0000,5.57082108538566E-0001,5.41198178204260E-0001 
